Files,Words,Vocabulary_size
541,475338,62203
542,475977,62266
543,476300,62290
544,476485,62299
545,477372,62356
546,477582,62357
547,478265,62435
548,478461,62450
549,478831,62477
550,479376,62530
551,481544,62757
552,481857,62774
553,482068,62778
554,482674,62845
555,484276,63036
556,484624,63067
557,485406,63103
558,485795,63121
559,486036,63127
560,486255,63136
561,486604,63152
562,486849,63167
563,487183,63188
564,487386,63199
565,488223,63305
566,490006,63459
567,490353,63484
568,490730,63498
569,491198,63529
570,494583,63727
571,494819,63742
572,495388,63788
573,497956,63978
574,498261,64018
575,498460,64019
576,499750,64584
577,500066,64622
578,500676,64675
579,500927,64683
580,501190,64692
581,501815,64749
582,502004,64752
583,502212,64757
584,502667,64814
585,503120,64848
586,503656,64913
587,504122,64964
588,504308,64969
589,504509,64974
590,504886,65001
591,505095,65009
592,505317,65024
593,505659,65053
594,506559,65081
595,506738,65088
596,507029,65111
597,507348,65137
598,508116,65205
599,508407,65230
600,508943,65296
601,509512,65317
602,509702,65318
603,511858,65452
604,512752,65510
605,514371,65581
606,514790,65599
607,521399,65958
608,521898,66009
609,522124,66016
610,522581,66067
611,522890,66102
612,523114,66121
613,523612,66158
614,524049,66278
615,524419,66291
616,524583,66297
617,525021,66315
618,525835,66350
619,526199,66373
620,526831,66428
621,527718,66458
622,528227,66542
623,528958,66588
624,529253,66607
625,529482,66615
626,531172,66712
627,534746,67039
628,535026,67055
629,535236,67061
630,535417,67067
631,536077,67095
632,536499,67133
633,537690,67177
634,537886,67181
635,538226,67191
636,538585,67205
637,539593,67256
638,541369,67351
639,542051,67457
640,542528,67478
641,542847,67493
642,543043,67503
643,543503,67531
644,543823,67554
645,544325,67562
646,544736,67586
647,544948,67598
648,545271,67609
649,545943,67658
650,546520,67749
651,546707,67750
652,547247,67864
653,547497,67882
654,547867,67898
655,548175,67910
656,548489,67929
657,549777,68049
658,550567,68107
659,552184,68328
660,552436,68352
661,552723,68365
662,553801,68416
663,554127,68423
664,554407,68439
665,555043,68573
666,555914,68629
667,556370,68681
668,556931,68730
669,557176,68738
670,557466,68755
671,558060,68765
672,558988,68832
673,559162,68834
674,560332,68895
675,560680,68902
676,561339,68974
677,562161,68989
678,562645,69025
679,562946,69040
680,563173,69046
681,563499,69061
682,563737,69070
683,564695,69189
684,565004,69201
685,565593,69475
686,565794,69483
687,566033,69490
688,566201,69492
689,566423,69500
690,567408,69563
691,567603,69566
692,568024,69583
693,568243,69587
694,568419,69594
695,568631,69602
696,569045,69631
697,569384,69645
698,569595,69658
699,570059,69703
700,571572,69825
701,571830,69838
702,572217,69855
703,572489,69871
704,573044,69907
705,573925,70008
706,574639,70079
707,575568,70096
708,575778,70110
709,576668,70149
710,576946,70174
711,577264,70199
712,577581,70214
713,578525,70285
714,581066,70436
715,581267,70441
716,581642,70447
717,582074,70469
718,583043,70514
719,583760,70548
720,584022,70549
721,584340,70565
