Files,Words,Vocabulary_size
636,451864,46794
637,452087,46798
638,452364,46813
639,458024,47108
640,458605,47137
641,459306,47182
642,459506,47198
643,460147,47272
644,467620,47759
645,467987,47784
646,468476,47804
647,469394,47873
648,470761,47995
649,473428,48358
650,474009,48409
651,474498,48431
652,474737,48441
653,475190,48453
654,475392,48455
655,475765,48468
656,476006,48471
657,476507,48481
658,477062,48522
659,477612,48542
660,477822,48545
661,479018,48637
662,479403,48659
663,479891,48688
664,480118,48689
665,483056,49059
666,483459,49080
667,483842,49101
668,484141,49108
669,484338,49111
670,484515,49111
671,484972,49139
672,485427,49163
673,485768,49175
674,486326,49192
675,486952,49225
676,487199,49237
677,487717,49275
678,489234,49347
679,489441,49355
680,500839,50462
681,501338,50519
682,501591,50547
683,502415,50603
684,503066,50647
685,503852,50705
686,509517,50999
687,509871,51023
688,510217,51059
689,510963,51110
690,511602,51128
691,511803,51133
692,512963,51225
693,513557,51243
694,513830,51246
695,514127,51258
696,514381,51288
697,514601,51290
698,514805,51298
699,515432,51349
700,515778,51361
701,516031,51369
702,516470,51378
703,517047,51388
704,517337,51398
705,517614,51411
706,518519,51476
707,519148,51633
708,519744,51672
709,520012,51687
710,520443,51798
711,521188,52073
712,521759,52113
713,522601,52218
714,522810,52219
715,523418,52292
716,524405,52337
717,524621,52344
718,525454,52382
719,525698,52389
720,525966,52395
721,527416,52472
722,527793,52495
723,528307,52511
724,528551,52521
725,528824,52528
726,529307,52546
727,529987,52584
728,530170,52588
729,530415,52605
730,531080,52631
731,531410,52711
732,531587,52720
733,534672,53100
734,534999,53114
735,535234,53119
736,535684,53231
737,536521,53270
738,542092,53740
739,542503,53789
740,546538,54494
741,546982,54516
742,547305,54538
743,547600,54551
744,548051,54589
745,548876,54635
746,549293,54679
747,549851,54700
748,550568,54738
749,550896,54758
750,551785,54879
751,552468,54970
752,553257,55019
753,553532,55025
754,553808,55030
755,554081,55040
756,554873,55097
757,555040,55101
758,555395,55116
759,555581,55124
760,556409,55238
761,556690,55260
762,557047,55285
763,557274,55292
764,557462,55296
765,558247,55371
766,558471,55385
767,558993,55465
768,559902,55585
769,560985,56050
770,561275,56071
771,562626,56306
772,562962,56330
773,563356,56367
774,563703,56386
775,568841,56753
776,569124,56770
777,570023,56826
778,570751,56850
779,571233,56918
780,572978,57695
781,575198,57801
782,575667,57833
783,575871,57846
784,576781,57898
785,577280,57935
786,577566,57959
787,577734,57966
788,579523,58058
789,580127,58128
790,580298,58132
791,580640,58143
792,581077,58174
793,586000,58602
794,586504,58627
795,587022,58654
796,587440,58670
797,587815,58687
798,588884,58772
799,589230,58801
800,589579,58821
801,591628,59084
802,591896,59099
803,592225,59108
804,593081,59176
805,593336,59198
806,593832,59229
807,594026,59233
808,594457,59269
809,594965,59308
810,595291,59332
811,595894,59349
812,596653,59473
813,596941,59485
814,597291,59517
815,597874,59539
816,598713,59572
817,598904,59576
818,599110,59594
819,599405,59611
820,601751,59773
821,602123,59801
822,602479,59809
823,602690,59813
824,603011,59829
825,603943,59951
826,604509,59973
827,605004,60044
828,606313,60121
829,606504,60122
830,606813,60136
831,607516,60163
832,607949,60177
833,614667,60465
834,615806,60545
835,618038,60767
836,618653,60800
837,618843,60835
838,619066,60841
839,620430,61074
840,620614,61079
841,622857,61253
842,623533,61278
843,624045,61310
844,625347,61397
845,626183,61484
846,627431,61593
847,628469,61671
848,628782,61681
849,628978,61682
850,629305,61700
851,629859,61725
852,630165,61742
853,630470,61756
854,630689,61762
855,630892,61787
856,631591,61812
857,632251,61852
858,634213,61907
859,634455,61914
860,635556,61986
861,637231,62113
862,637484,62119
863,637762,62130
864,639214,62227
865,639636,62243
866,640059,62265
867,640277,62277
868,641070,62374
869,642858,62417
870,643175,62424
871,643486,62432
872,644447,62476
873,654439,62936
874,654731,62943
875,655352,62986
876,655755,63011
877,656544,63060
878,657237,63083
879,657448,63094
880,658376,63184
881,659622,63262
882,659862,63265
883,660122,63276
884,660287,63289
885,660437,63305
886,661725,63423
887,662437,63478
888,664090,63575
889,664831,63607
890,665366,63641
891,665714,63651
892,665892,63658
893,666193,63674
894,666729,63706
895,670985,63945
896,671456,64044
897,672314,64090
898,672577,64098
899,672896,64109
900,675035,64312
901,676357,64497
902,676529,64499
903,676871,64512
904,677061,64515
905,677345,64528
906,678251,64579
907,678503,64592
908,678980,64619
909,679232,64634
910,680174,64739
911,682132,64874
912,682366,64885
913,682630,64894
914,682877,64906
915,683841,64993
916,686766,65198
917,687082,65206
918,687334,65216
919,692364,65394
